recept,ingrediënten,url
Broccoli en worteltjes in oestersaus met rijst en reepjes omelet,"['300 gr. rijst, bv. basmatirijst', '4 eieren', '1 broccoli', '250 gr. kastanjechampignons', '200 gr. bospeen', '6 lenteuitjes', '2 teentjes knoflook', '4 el. oestersaus', '2 el. sojasaus, optioneel', 'vijfkruidenpoeder', 'peper en zout', 'wokolie', 'ketjap manis, optioneel']",https://kookidee.nl/recepten/hoofdgerecht/broccoli-en-worteltjes-in-oestersaus-met-rijst-en-reepjes-omelet/
Een makkelijke appelkruimelcake,"['200 gr. bloem', '200 gr. roomboter', '150 gr. lichte basterdsuiker', '100 gr. amandelspijs*', '4 eieren', '1 tl. bakpoeder', '1 tl. kaneelpoeder', '1 tl. vanillearoma', 'snufje zout', '2 appels, bv. Elstar', 'boter, om in te vetten', 'poedersuiker', '50 gr. roomboter', '50 gr. lichte basterdsuiker', '70 gr. bloem', '1/2 tl. kaneelpoeder', 'snufje zout']",https://kookidee.nl/recepten/gebak/een-makkelijke-appelkruimelcake/
Spaghetti met Italiaanse gehaktballetjes in tomatensaus,"['300 gr. spaghetti', '400 gr. polpa*', '400 gr. cherrytomaatjes uit blik*', '2 courgettes', '1 grote ui', '4 tenen knoflook', 'verse peterselie', 'Parmezaanse kaas', 'peper en zout', 'Italiaanse kruiden', 'olijfolie', '500 gr. gehakt, half-om-half', '2 eieren', '8 zongedroogde tomaatjes in olie', '6 tenen knoflook', 'paneermeel', 'peper en zout', 'handje peterselie', 'scheutje olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/spaghetti-met-italiaanse-gehaktballetjes-in-tomatensaus/
"Pastaschotel uit de oven met kip pesto, tomaat, prei, paprika en mozzarella","['250 gr. pasta, penne', '300 gr. kipfilet', '400 gr. tomatenblokjes, blik', '1 prei', '1 ui', '1 rode paprika', '1 gele paprika', '200 gr. bospeen', '3 tenen knoflook', '2 tl. groene pesto', '1 bol buffelmozzarella', '150 gr. geraspte kaas, belegen', 'Italiaanse kruiden', 'peper en zout', 'olijfolie', 'boter om in te vetten']",https://kookidee.nl/recepten/hoofdgerecht/pastaschotel-uit-de-oven-met-kip-pesto-tomaat-prei-paprika-en-mozzarella/
Kip madras met sperziebonen en rijst,"['300 gr. kippendij of kipfilet', '300 gr. rijst, bv. zilvervliesrijst', '350 gr. sperziebonen', '1 rode paprika', '1 groene paprika', '2 tomaten', '1 ui', '2 tenen knoflook', '1 friszoete appel, bv. Elstar', 'verse gember, ca. 2 cm.', '125 gr. crème fraiche', 'scheutje volle yoghurt', '2 tl. kurkuma', '1 1/2 tl. kerriepoeder', '1/2 tl. paprikapoeder*', '1/2 tl. djintan*', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/kip-madras-met-sperziebonen-en-rijst/
"Yoghurt ontbijtje met aardbeien, blauwe bessen en druiven","['200 gr. volle yoghurt', 'handje aardbeien', 'handje blauwe bessen', 'handje druiven', '2 el. havermout', '1 tl. lijnzaad', 'scheutje vloeibare honing']",https://kookidee.nl/recepten/ontbijt/yoghurt-ontbijtje-met-aardbeien-blauwe-bessen-en-druiven/
"Tagliatelle met snijbonen, garnaaltjes in knoflook en Parmezaan","['250 gr. tagliatelle', '800 gr. snijbonen', '1 grote ui, optioneel', '200 gr. garnalen', '4 tenen knoflook', 'Parmezaanse kaas', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/tagliatelle-met-snijbonen-garnaaltjes-in-knoflook-en-parmezaan/
"Rijst met broccoli, worteltjes, cantharellen en gegrilde zalm","['300 gr. rijst', '4 moten zalm, eventueel met huid', '1 broccoli', '200 gr. bospeen', '200 gr. cantharellen', '1 teen knoflook', 'vloeibare honing', 'sesamzaad', 'vijfkruidenpoeder', 'sojasaus', 'peper en zout', 'olijfolie', 'wokolie', 'ketjap manis']",https://kookidee.nl/recepten/hoofdgerecht/rijst-met-broccoli-worteltjes-cantharellen-en-gegrilde-zalm/
Roergebakken spinazie met noedels en zoete plakjes biefstuk,"['270 gr. ramen noodles', '500 gr. bladspinazie', '300 gr. biefstuk', '2 uien', '6 lenteuitjes', '1 tl. sesamzaad', 'wokolie', 'peper en zout', '3 el. zoete chilisaus', '2 el. sojasaus', '1 el. oestersaus', '2 tenen knoflook', '2 cm. verse gember, geraspt', '1 el. rietsuiker']",https://kookidee.nl/recepten/hoofdgerecht/roergebakken-spinazie-met-noedels-en-zoete-plakjes-biefstuk/
Krieltjes uit de oven met gegrilde groenten en pikante kippenvleugeltjes,"['500 gr. krieltjes, in de schil', '250 gr. champignons', '1 rode puntpaprika', '1 gele puntpaprika', '1 oranje puntpaprika', '200 gr. groene aspergetips', '2 takjes rozemarijn', 'peper', 'grof zeezout', 'snufje gegrookt paprikapoeder', 'olijfolie', 'ca. 750 gr. kippenvleugels', '1/2 tl. gerookt paprikapoeder', '1/2 tl. paprikapoeder', '1/4 tl. chilipoeder', '1/4 tl. knoflookpoeder', '1/4 tl. gedroogde rozemarijn', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/krieltjes-uit-de-oven-met-gegrilde-groenten-en-pikante-kippenvleugeltjes/
"Pastasalade met gegrilde courgette, pesto-champignons en flame roasted zalm","['250 gr. pasta, bv. fusilli', '1 courgette', '250 gr. cherrytomaatjes', '250 gr. champignons', '1 komkommer', '1 rode paprika', '6 lenteuitjes', '150 gr. flame roasted zalm*', '1 teentje knoflook', '2 tl. groene pesto', 'Parmezaanse kaas', 'bloem', 'peper en zout', 'grof zeezout', 'olijfolie', 'basilicum, optioneel']",https://kookidee.nl/recepten/hoofdgerecht/pastasalade-met-gegrilde-courgette-pesto-champignons-en-flame-roasted-zalm/
"Havermoutkoeken met chocolade, walnoot en kaneel","['200 gr. bloem', '180 gr. havermout', '125 gr. roomboter', '150 gr. bruine basterdsuiker', '100 gr. rietsuiker', '8 gr. vanillesuiker', '2 eieren', '100 gr. chocolade, 70% cacao', '50 gr. gepelde walnoten', '2 tl. bakpoeder', '1 tl. kaneel', '1/4 tl. zout']",https://kookidee.nl/recepten/gebak/havermoutkoeken-met-chocolade-walnoot-en-kaneel/
Pappardelle met spinazie a la crème en knoflook-garnaaltjes,"['250 gr. pappardelle', '600 gr. bladspinazie', '1 gele paprika', '250 gr. garnalen', '2 tenen knoflook', '125 gr. crème fraiche', 'verse basilicum', 'Italiaanse kruiden', 'Parmezaanse kaas', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/pappardelle-met-spinazie-a-la-creme-en-knoflook-garnaaltjes/
"Frittata met chipolataworstjes, paprika, champignons en kaas","['6 eieren', '5 chipolataworstjes', '1 rode paprika', '1 gele paprika', '1 ui', '2 teentjes knoflook', '250 gr. champignons', '150 gr. geraspte kaas', '2 takjes rozemarijn', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/frittata-met-chipolataworstjes-paprika-champignons-en-kaas/
"Tosti met parmaham, tomaat, basilicum en truffelmayonaise","['2 sneetjes brood', 'kaas', '2 plakken parmaham', 'truffelmayonaise*', '1/2 trostomaat', 'verse basilicum', 'peper']",https://kookidee.nl/recepten/lunchgerecht/tosti-met-parmaham-tomaat-basilicum-en-truffelmayonaise/
"Ciabatta met gegrilde ribeye, rucola en truffelmayonaise","['1 flinke ribeye, min. 300 gr.', ""2 ciabatta's, afbak"", '50 gr. rucola', '4 el. mayonaise', 'truffelolie, naar smaak', '2 trostomaten', '1/2 komkommer', '35 gr. pijnboompitjes', 'peper en zout', 'grof zeezout', 'olijfolie']",https://kookidee.nl/recepten/lunchgerecht/ciabatta-met-gegrilde-ribeye-rucola-en-truffelmayonaise/
"Wraps met gekruide kip, bonen, rode paprika, mais en roomkaas","['8 wraps', '300 gr. kippendij', 'ca. 700 gr. gemengde bonen*', '150 gr. mais', '1 rode paprika', '1 rode ui', '2 tenen knoflook', '75 gr. veldsla', 'paprikapoeder', 'Italiaanse kruiden', 'peper en zout', 'roomkaas', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/wraps-met-gekruide-kip-bonen-rode-paprika-mais-en-roomkaas/
Noedels met roergebakken groenten en varkenshaas in zoetzure saus,"['225 gr. rijstnoedels', '1 varkenshaas (ca. 300 gr.)', '1 courgette', '1 gele paprika', '250 gr. champignons', '6 lenteuitjes', '1 blikje ananasblokjes (230 gr.)', '2 tenen knoflook', 'arachideolie', '2 el. ketjap manis', '1 el. rijstazijn', '2 el. vloeibare honing', '2 el. arachideolie', '1 tl. sesamzaad', '1 el. bruine basterdsuiker', 'snufje vijfkruidenpoeder', '1 tl. maizena', 'sap van de ananasblokjes', '1 el. chilisaus', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/noedels-met-roergebakken-groenten-en-varkenshaas-in-zoetzure-saus/
Aardbeien-rabarber cake met witte chocolade,"['200 gr. rabarber (ca.\xa01 grote steel)', '100 gr. witte chocolade', '150 gr. aardbeien', '200 gr. roomboter', '150 gr. witte basterdsuiker + wat extra', '50 gr. fijne kristalsuiker', '1 zakje vanillesuiker (8 gr.)', '4 eieren', '200 gr. bloem + wat extra', '8 gr. bakpoeder', '25 gr. custardpoeder', 'boter om in te vetten']",https://kookidee.nl/recepten/gebak/aardbeien-rabarber-cake-met-witte-chocolade/
Broodjes kipsaté met zoetzure rode ui en komkommer,"['4 pitabroodjes', '400 gr. kippendijfilet', '1 rode ui', '1/2 komkommer', '50 ml. azijn', '3 el. suiker', 'paar blaadjes sla', 'gebakken uitjes*', 'arachideolie', 'pindasaus, recept', '2 el. sojasaus', '2 el. arachideolie', '2 el. oestersaus', '1 tl. trassie', '1/2 tl. citroengraspoeder', '1 tl. sesamzaadjes', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/broodjes-kipsate-met-zoetzure-rode-ui-en-komkommer/
"Skyr met banaan, druiven en honing","['200 gr. skyr*', '1 banaan', 'handje druiven', 'vloeibare honing', '1 tl. gebroken lijnzaad', '2 el. havervlokken, optioneel']",https://kookidee.nl/recepten/ontbijt/skyr-met-banaan-druiven-en-honing/
"Zomerse pannenkoeken met aardbeien, vanille roomijs en slagroom","['250 gr. aardbeien', '125 gr.\xa0slagroom', 'vanille roomijs', 'poedersuiker', '400 gr. bloem', '2 tl. rietsuiker', 'snufje zout', '900 ml. melk', '4 eieren', '10\xa0gr. bakpoeder', 'boter om te bakken']",https://kookidee.nl/recepten/hoofdgerecht/zomerse-pannenkoeken-met-aardbeien-vanille-roomijs-en-slagroom/
"Wraps met parmaham, zongedroogde tomaatjes en pestomayonaise","['8 wraps', '8 plakken parmaham', '50 gr. rucola', '35 gr. pijnboompitjes', '6 el. mayonaise', '2 tl. groene pesto', '12 zongedroogde tomaatjes', 'peper']",https://kookidee.nl/recepten/lunchgerecht/wraps-met-parmaham-zongedroogde-tomaatjes-en-pestomayonaise/
"Rijst met paksoi, paprika, champignons en zoete knoflook-garnalen","['300 gr. rijst', '200 gr. garnalen', '1 paksoi', '1 rode paprika', '250 gr. kastanjechampignons', '1 rode ui', '3 tenen knoflook', '2 el. oestersaus', '1 el. sojasaus', '1 tl. rijstazijn', '1 tl. donkere basterdsuiker', 'peper en zout', 'wokolie']",https://kookidee.nl/recepten/hoofdgerecht/rijst-met-paksoi-paprika-champignons-en-zoete-knoflook-garnalen/
"Panini met chorizo, tomaat, mozzarella en basilicum","[""2 ciabatta's, afbak"", '8 plakjes chorizo, beleg', '1 bol buffelmozzarella', '1 trostomaat', '20\xa0gr. pijnboompitjes', 'verse basilicum', 'olijfolie', 'peper']",https://kookidee.nl/recepten/lunchgerecht/panini-met-chorizo-tomaat-mozzarella-en-basilicum/
"Snelle pizza met kip, tomaat, mozzarella en avocado","['400 gr. pizzadeeg', '200 gr. tomatensaus voor pizza*', '150 gr. kipfilet, broodbeleg', '1 rode ui', '2 trostomaten', '1 bol buffelmozzarella', '100 gr. geraspte kaas', '1 avocado', 'peper en zout', 'olijfolie', 'bloem']",https://kookidee.nl/recepten/hoofdgerecht/snelle-pizza-met-kip-tomaat-mozzarella-en-avocado/
Mie met roergebakken groenten en zoetzure varkenshaas,"['250 gr. mie', '500 gr. varkenshaas', '400 gr. sperziebonen', '200 gr. taugé', '1 rode paprika', '3 sjalotjes', '200 gr. bospeen', '4 tenen knoflook', '150 ml. kippenbouillon', '2 el. rietsuiker', '1 limoen', '1 el. oestersaus', 'vijfkruidenpoeder', 'peper en zout', 'wokolie']",https://kookidee.nl/recepten/hoofdgerecht/mie-met-roergebakken-groenten-en-zoetzure-varkenshaas/
Pasta met broccoli en champignons in roomsaus en zalm uit de oven,"['300 gr. pasta, bv. tagliatelle', '2 stronken broccoli', '250 gr. kastanjechampignons', '125 gr. crème fraiche', '2 of 4 zalmmoten*', 'teentje knoflook', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/pasta-met-broccoli-en-champignons-in-roomsaus-en-zalm-uit-de-oven/
Kerrie bloemkoolsoep met zeekraal en gebakken bacon,"['1 1/2 l. groentebouillon', '1 grote bloemkool', '1/2 tl. kerriepoeder', '1 ui', '100 gr. zeekraal', '100 gr. bakbacon', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/soep/kerrie-bloemkoolsoep-met-zeekraal-en-gebakken-bacon/
"Wraps met roomkaas, spinazie, gerookte zalm en ei","['8 wraps', '600 gr. bladspinazie', '4 eieren', '200 gr. gerookte zalm', '35 gr. pijnboompitten', 'peper en zout', 'roomkaas', 'verse bieslook', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/wraps-met-roomkaas-spinazie-gerookte-zalm-en-ei/
"Pastasalade met gerookte zalm, avocado en een yoghurt-dille dressing","['300 gr. pasta, bv. fusilli', '200 gr. gerookte zalmfilet, plakken', '250 gr. cherrytomaatjes', ""2 avocado's"", '100 gr. veldsla', '35 gr. pijnboompitjes', '1 tl. groene pesto', 'peper en zout', 'olijfolie', '5 el. yoghurt', '1 el. olijfolie', 'sap van 1/2 citroen', '1 teen knoflook', 'dille, vers of gedroogd', 'peper en zout']",https://kookidee.nl/recepten/salade/pastasalade-met-gerookte-zalm-avocado-en-een-yoghurt-dille-dressing/
Pizza met Coppa di Parma en burrata,"['500 gr. pizzadeeg', '250 gr. cherrytomaten', 'ca. 200 gr. tomatensaus voor pizza', '100 gr. Coppa di Parma*', '2 bollen burrata', '1 ui', 'verse basilicum', 'peper en zout', 'olijfolie', 'bloem', '400 gr. tomaat uit blik', '1 ui', '2 tenen knoflook', '1 tl. Italiaanse kruiden', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/pizza-met-coppa-di-parma-en-burrata/
"Roergebakken rijst met groenten, ei en varkensreepjes","['300 gr. rijst, bv. basmatirijst', '1 rode paprika', '2 preien', '200 gr. bospeen', '2 rode uien', '400 gr. varkensreepjes', '4 eieren', '3 el. oestersaus', '2 el. sojasaus', 'Chinees vijfkruidenpoeder', 'peper en zout', 'wokolie']",https://kookidee.nl/recepten/hoofdgerecht/roergebakken-rijst-met-groenten-ei-en-varkensreepjes/
"Omelet met champignons, ui, paprika, komkommer en cheddar","['4 sneetjes brood', '8 (of 12) eieren', 'scheutje melk', '1 rode paprika', '125 gr. champignons', '2 uien', '4 snackkomkommers', '2 tenen knoflook', '4 of 8 plakken cheddar', 'peper en zout', 'boter om te bakken']",https://kookidee.nl/recepten/lunchgerecht/omelet-met-champignons-ui-paprika-komkommer-en-cheddar/
"Pita pizzabroodje met salami, chorizo, champignons en kaas","['4 pitabroodjes', 'ca. 100 gr. tomatensaus*', '100 gr. salami, 8 plakken', '100\xa0gr. \xa0chorizo, ca. 12 plakken', '1 rode paprika', '125 gr. kastanjechampignons, liefst groot', '4 groene pepertjes', 'jonge kaas, 4 flinke plakken', 'Italiaanse kruiden']",https://kookidee.nl/recepten/hoofdgerecht/pita-pizzabroodje-met-salami-chorizo-champignons-en-kaas/
"Bladerdeeg met ham, kaas en ei uit de oven","['8 plakjes bladerdeeg', '8 plakken achterham*', '200 gr. geraspte kaas', '8 eieren', '1 gele paprika', '2 takjes rozemarijn', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/bladerdeeg-met-ham-kaas-en-ei-uit-de-oven/
Koolraapstamppot met appelstroop en rookworst,"['800 gr. kruimige aardappels', '1 grote koolraap', '2 uien', '2 el. appelstroop', 'peper en zout', 'klontje boter + wat extra', 'scheutje melk', '2\xa0rookworsten', '2 appels', '50 gr. roomboter']",https://kookidee.nl/recepten/hoofdgerecht/koolraapstamppot-met-appelstroop-en-rookworst/
"Pasta met gegrilde courgette, champignons, paprika en rozemarijn-kip","['300 gr. pasta', '2 courgettes', '1 rode paprika', '250 gr. champignons', '6 lenteuitjes', '300 gr. kippendijfilet', '4 takjes rozemarijn', 'peper en zout', 'olijfolie', 'verse basilicum']",https://kookidee.nl/recepten/hoofdgerecht/pasta-met-gegrilde-courgette-champignons-paprika-en-rozemarijn-kip/
"Broodje biefstuk met gebakken ui, champignons en truffelmayonaise","['4 broodjes, bijv. pitabroodjes', '2 biefstukken, totaal ca. 400 gr.', '2 trostomaten', '2 uien', '250 gr. champignons', '35 gr. veldsla', '6 el. mayonaise', 'truffelolie, naar smaak', 'citroensap', 'peper en zout', 'boter om te bakken']",https://kookidee.nl/recepten/lunchgerecht/broodje-biefstuk-met-gebakken-ui-champignons-en-truffelmayonaise/
Spruitjes en bacon uit de oven met geroosterde rozemarijn aardappels,"['1 kg. kleine spruitjes', '800 gr. aardappels, vastkokend', '150 gr. bakbacon (dikke plakken)', '6 takjes rozemarijn', 'grof zeezout', 'peper', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/spruitjes-en-bacon-uit-de-oven-met-geroosterde-rozemarijn-aardappels/
"Pizza wraps met prosciutto, tomaat, mozzarella en pijnboompitjes","['8\xa0wraps', '300 gr. passata (tomatensaus)', '200 gr. prosciutto crudo', '2\xa0bollen buffelmozzarella', '4 trostomaten', '1 rode paprika', '40 gr. pijnboompitten', '40 gr. rucola', 'Italiaanse kruiden', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/pizza-wraps-met-prosciutto-tomaat-mozzarella-en-pijnboompitjes/
"Pasta met prei, bladspinazie, doperwten en knoflook-garnaaltjes","['300 gr. pasta, bv. fusilli', '200 gr. garnalen', '2 stronken prei', '200 gr. bladspinazie', '200 gr. doperwten, diepvries', '6 lenteuitjes', '2 trostomaten', '3 teentjes knoflook', 'Parmezaanse kaas', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/pasta-met-prei-bladspinazie-doperwten-en-knoflook-garnaaltjes/
Knolselderij-pastinaaksoep met pied de mouton en salie,"['1 l. groentebouillon', '1 knolselderij', '400 gr. pastinaak', '1 ui', '125 gr. slagroom', '300 gr. pied de mouton*', 'peper en zout', 'verse salie', 'olijfolie', 'klontje boter']",https://kookidee.nl/recepten/soep/knolselderij-pastinaaksoep-met-pied-de-mouton-en-salie/
"Mini plaattaartjes met ontbijtspek, tomaat, champignons, ei en kaas","['8 plakjes bladerdeeg', '8 plakjes ontbijtspek', '8 eieren', '1 rode ui', '2 trostomaten', '200 gr. champignons', '6 lenteuitjes', '100 gr. geraspte kaas', 'rozemarijn, vers of gedroogd', 'peper en zout']",https://kookidee.nl/recepten/lunchgerecht/mini-plaattaartjes-met-ontbijtspek-tomaat-champignons-ei-en-kaas/
Prei-courgettesoep met gember en dille,"['1 l. groentebouillon', '2 courgettes', '1 grote prei (of 2 kleintjes)', '1 grote ui', '3 tenen knoflook', 'verse gember (ca. 2 cm)', 'verse dille, ca. 10 takjes', '125 gr. slagroom (optioneel)', 'olijfolie', 'peper en zout']",https://kookidee.nl/recepten/soep/prei-courgettesoep-met-gember-en-dille/
Snelle salade caprese met rode ui en balsamico,"['ca. 75 gr. basilicumblaadjes*', '250 gr. cherrytomaten', '150 gr. minibolletjes buffelmozzarella', '1/2 rode ui', 'balsamicoazijn', 'olijfolie', 'peper en zout']",https://kookidee.nl/recepten/salade/snelle-salade-caprese-met-rode-ui-en-balsamico/
"Saté-wraps met paksoi, paprika, champignons en kip","['300 gr. kippendijfilet', '8 wraps', '1 paksoi', '250 gr. kastanjechampignons', '100 gr. taugé', '1 rode paprika', '1 rode ui', '2 teentjes knoflook', 'gebakken uitjes', 'peper en zout', 'wokolie', 'pindasaus*', 'zakje kroepoek', '2 el. sojasaus', '2 el. arachideolie', '2 el. oestersaus', '1/2 tl. citroengraspoeder', '1 tl. sesamzaad', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/sate-wraps-met-paksoi-paprika-champignons-en-kip/
"‘Aardappel anders’ ovenschotel met bloemkool, champignons en kippendij","['600 gr. aardappels', '300 gr. kippendijfilet', '1 flinke bloemkool', '1 groene paprika', '250 gr. kastanjechampignons', '150 gr. jonge kaas, geraspt', 'boter om in te vetten', '125 gr. crème fraiche', '125 gr. slagroom', '1 ei', '2\xa0teentjes knoflook', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/aardappel-anders-ovenschotel-met-bloemkool-champignons-en-kippendij/
"Spaghetti met gegrilde groenten, mozzarella en gedroogde ham","['300 gr. verse spaghetti*', '1 aubergine', ""2 gele paprika's"", '250 gr. champignons', '6 lenteuitjes', '5 teentjes knoflook', 'ca. 100 gr. pro\xads\xadci\xadut\xadto cru\xaddo (gedroogde ham)', '1 bol buffelmozzarella', 'Italiaanse kruiden', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/spaghetti-met-gegrilde-groenten-mozzarella-en-gedroogde-ham/
Wortel-venkelstamppot met spekjes en gedroogde ham,"['1 kg. kruimige aardappelen', '500 gr. bospeen of winterpeen', '500 gr. venkel (2 knollen)', '200 gr. spekreepjes', '100 gr. gedroogde ham (prosciutto crudo)', 'scheutje melk', 'klontje boter', 'peper en zout', 'verse bieslook']",https://kookidee.nl/recepten/hoofdgerecht/wortel-venkelstamppot-met-spekjes-en-gedroogde-ham/
"Plaattaart met prei, champignons, pancetta en ei","['6 plakjes roomboter bladerdeeg', '2 preien', '1 rode ui', '125 gr. kastanjechampignons', '3 teentjes knoflook', '100 gr. mascarpone', '80 gr. pancetta', '4 eieren', 'verse oregano', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/plaattaart-met-prei-champignons-pancetta-en-ei/
"Snelle pasta met snijbonen, doperwten en kip pesto","['300 gr. pasta', '400 gr. snijbonen', '400 gr. doperwten (diepvries)', '300 gr. kippendijfilet', '2 tl. groene pesto', '35 gr. pijnboompitjes', 'Parmezaanse kaas', 'verse basilicum', 'Italiaanse kruiden', 'olijfolie', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/snelle-pasta-met-snijbonen-doperwten-en-kip-pesto/
Knolselderijpuree met botermals stoofvlees,"['800 gr. runderlappen', '1 l. runderbouillon', '1 ui', '3 tenen knoflook', '3 el. tomatenpuree', '2 laurierbladen', '5 takjes rozemarijn', '250 ml. rode wijn', '1 plak ontbijtkoek', '50 gr. roomboter + klontje extra', '2 el. olijfolie', '800 gr. kruimige aardappelen', '1 knolselderij', '50 ml. kookroom', 'bloem', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/knolselderijpuree-met-botermals-stoofvlees/
Babi pangang met roergebakken groenten en mie,"['800 gr. hamlappen', '800 gr. sperziebonen', '200 gr. shiitake', '6 bosuitjes', '250 gr. mie', 'wokolie of arachideolie', '3 teentjes knoflook', '2 cm. gember, geraspt', '3 el. arachideolie', '3 el. ketjap manis', '2 el. sojasaus', '1/2 tl. donkere basterdsuiker', '1/2 tl. vijfkruidenpoeder', 'snufje grof zeezout', '4 el. donkere basterdsuiker', '2 el. rijstazijn', '2 el. zoete witte wijn', '2 el. gembersiroop', '2 el. water', '1 cm. gember, geraspt', '4 el. tomatenketchup', '2 el. tomatenpuree', '1 el. maizena', '1 tl. sambal', '1 steranijs']",https://kookidee.nl/recepten/hoofdgerecht/babi-pangang-met-roergebakken-groenten-en-mie/
Taco’s met pulled pork en pickled red onions,"['ca. 800 gr. pulled pork', ""12 taco's"", '2 trostomaten', 'paar blaadjes sla, bv. ijsbergsla', '125 gr. zure room', '2 rode uien', '4 el. rijstazijn', '2 el. suiker', 'snufje zout']",https://kookidee.nl/recepten/hoofdgerecht/tacos-met-pulled-pork-en-pickled-red-onions/
"Omelet wraps met zalm, babyspinazie en avocado","['8 of 12 eieren', '200 gr. gerookte zalmfilet', ""2 avocado's"", '100 gr. babyspinazie', 'roomkaas, bv. Philadelphia\xa0naturel', 'verse bieslook', 'melk', 'peper en zout', 'boter om te bakken']",https://kookidee.nl/recepten/hoofdgerecht/omelet-wraps-met-zalm-babyspinazie-en-avocado/
"Sticky chicken wings, gebakken aardappeltjes en snijbonen","['1 kg. kippenvleugeltjes', '800 gr. aardappelen', '1 kg. snijbonen', 'klontje roomboter', 'scheutje zonnebloemolie', 'grof zeezout', '1 el. sojasaus', '1 teen knoflook', '1 el. sesamolie', '1/2 limoen', '1 el. gembersiroop', '1 tl. donkere basterdsuiker', '2 el. vloeibare honing', '1 el. zoete chilisaus', '1 el. sojasaus', '1 el. sesamolie', '1/2 limoen', '2 teentjes knoflook', '1 tl. sesamzaad']",https://kookidee.nl/recepten/hoofdgerecht/sticky-chicken-wings-gebakken-aardappeltjes-en-snijbonen/
Een ouderwets lekkere kruidkoek,"['150 gr. bloem', '100 gr. roggemeel', '150 gr. donkere basterdsuiker', '200 ml. karnemelk*', '2 el. stroop', '2 el. koekkruiden**', '1 el. bakpoeder', 'snufje zout', '4 tl. kaneel', '1 t. foelie', '1/2 tl. gemalen kruidnagel', '1/2 tl. kardemom', '1/2 tl. gemberpoeder', '1/2 tl. gemalen nootmuskaat', '1/2 tl. gemalen korianderzaad']",https://kookidee.nl/recepten/tussendoortjes/een-ouderwets-lekkere-kruidkoek/
Witlofquiche met beenham en kaas,"['4 tot 5 stronkjes witlof', '5 plakjes deeg voor hartige taart', '1 rode ui', '100 gr. beenham', '150 gr. Turkse yoghurt*', '4 eieren', '150 gr. geraspte jonge kaas', 'paneermeel', 'boter om in te vetten', 'olijfolie', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/witlofquiche-met-beenham-en-kaas/
"Rijstnoedels met Chinese kool, paddenstoelen en omelet","['320 gr. rijstnoedels', '1 Chinese kool', '100 gr. shiitake', '150 gr. oesterzwam', '1 rode ui', '2 tenen knoflook', '6 bosuitjes', '4 eieren', '1\xa0tl. sesamzaadjes', 'hoisinsaus', 'sojasaus', 'wokolie', 'peper en zout', 'kroepoek']",https://kookidee.nl/recepten/hoofdgerecht/rijstnoedels-met-chinese-kool-paddenstoelen-en-omelet/
Stamppot van geroosterde courgette en aubergine met lamskoteletjes,"['800 gr. kruimige aardappelen', '500 gr. lamskoteletjes', '2 courgettes', '1 aubergine', '1 rode paprika', 'verse tijm', 'scheutje melk', 'klontje boter', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/stamppot-van-geroosterde-courgette-en-aubergine-met-lamskoteletjes/
Zelf amandelspijs maken,"['200 gr. amandelmeel of blanke amandelen', '200 gr. fijne kristalsuiker', '1 citroen', '1 ei']",https://kookidee.nl/recepten/basics/zelf-amandelspijs-maken/
"Pasta met gegrilde courgette, tomaatjes en chorizo","['300 gr. spaghetti', '1 chorizo (ca. 200 gr.)', '2 courgettes', '250 gr. cherrytomaatjes', '1 grote ui', '3 tenen knoflook', '1 rode paprika', 'paar blaadjes salie', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/pasta-met-gegrilde-courgette-tomaatjes-en-chorizo/
